Регион;Выручка;Абсолютная маржа;Маржа;Кол-во чеков;Кол-во товаров;Кол-во уникальных клиентов;Средний чек;Среднее кол-во товаров в чеке;Ценность клиента
Южно-Сахалинск;51985;15870;0.30528036933730884;10;64;9;6768;6;1763
Псков;62925;13484;0.21428684942391737;14;75;13;5118;5;1037
Орел;434331;137794;0.317255733530418;46;49;46;11858;1;2996
Анапа;123850;19210;0.15510698425514735;22;94;21;6217;4;915
Геленджик;39687;5549;0.13981908433492077;12;30;10;3932;2;555
Котельники (Люберецкий район);451990;84641;0.18726299254408282;155;773;122;3360;5;694
Протвино (Московская область район);463;127;0.27429805615550756;1;2;1;913;2;127
Нижний;573708;165095;0.2877683420834292;47;57;46;12842;1;3589
Кратово (Раменский район);3443;749;0.21754284054603543;1;2;1;3492;2;749
Лосино-Петровский (Щелковский район);76763;12935;0.16850566027904068;29;210;17;2839;7;761
Волгодонск;17574;4791;0.2726186411744623;4;7;4;4981;2;1198
Подольск;127270;32784;0.2575940913019565;17;29;16;7519;2;2049
Новинки (Истринский район);44962;4700;0.10453271651616922;2;38;1;22580;19;4700
Троицк (ГП Москва);114255;20047;0.17545840444619493;50;156;38;2464;3;528
Железнодорожный;241403;68927;0.2855266918803826;39;103;37;6950;3;1863
Тобольск;691837;140173;0.20260986330595213;173;536;123;4470;3;1140
Ватутинки (Ленинский район);5801;697;0.12015169798310636;1;25;1;6551;25;697
Истра (Истринский район);183445;28412;0.15488020932704624;35;178;31;5509;5;917
Миасс;22048;5375;0.24378628447024672;4;18;4;6374;4;1344
Тарасовка (Пушкинский район);3769;451;0.11966038737065535;1;9;1;3818;9;451
Красково (Люберецкий район);46357;14171;0.30569277563259056;11;72;8;4603;7;1771
Череповец;22022;3231;0.14671691944419218;10;22;7;2739;2;462
Малаховка (Люберецкий район);99582;12045;0.12095559438452733;38;158;29;2806;4;415
Кстово;20776;1646;0.07922603003465536;8;21;7;3147;3;235
Туапсе;32899;6360;0.19331894586461595;9;38;7;4294;4;909
Обнинск;70194;9388;0.13374362481123742;16;61;14;5028;4;671
Бутово (Ленинский район);70437;9784;0.13890426906313444;11;54;9;6678;5;1087
Долгопрудный (Московская область район);385490;63028;0.1635009987288905;139;627;120;3359;5;525
Дмитров (Дмитровский район);130052;26614;0.20464122043490296;43;224;36;3348;5;739
Тверь;159691;31635;0.198101333199742;42;127;39;4289;3;811
Якутск;47309;9237;0.19524826143017185;9;114;8;6812;13;1155
Руза (Рузский район);16581;2671;0.16108799228032086;6;34;5;2906;6;534
