Кластер 1;Кластер 2;Кластер 3;Кластер 4
123;478;-132.5;3569
287.6666667;261;256;963
286;863;175;1600
39;347;335;494.5
93;452;419;720
224;716;-1075;4109
96;46;88;299
959;193;233;925
220;1226;136;2281
586;51;45;219
178;451;616;3183
306.5;243;202;3071
81;977;580;0
-604;1431;626;13248
174;615.5;317;3018
379;379.3333333;1118;1307
-500;4970;403;500
229.5;224;372;194
102;1186;1445;127
-636;890;278;2008
196;275.8;1795;2798
219;160;-72;3679
39;529;154;43973
225.5;299;285;90
300;366;57;3389
325.5;189.6666667;176;2786
59;221;143;200
105;503;69;-91
32;514;324;681
323;549;424;496
387;59;780;1191
150;125;818;686
290;599;384;1050
1474;331.6666667;168;1553
179;396.5;9;2933
279;515.5;141;1500
701;568;139;911
121;161;277;7597
209;1313.5;78;209
723;303;337;2508
-12;187;354;176
306.6666667;180;1763;1100
280;379;388;1479
191;98;412;190
132;644;-210;703
104.3333333;570;206;1536
185;1720;584;224
128.3333333;284;654;1359
1024;395;842;501
771;60.8;134;1441
301;520;1662;110
-140;33;45;1191
31;357;490;273
149.6666667;313;352;4164
307;315.1538462;127;43952
458;1255;431;2071
372;110;231;2249
50;2676;304;1176.5
24;86.5;997;2195
76;699;366;730
221.75;275;114.5;1378
133;1065;20;690
93;598;127;2539
-116.6666667;519;195;2250
357;91.4;1004;308
38;614;600;2084
96.5;870;620;1021.5
327;508.8333333;182;807
471;140;759;920
32;721.5;385;5100
489;50;495;956
119;554;1091;1322
185.6666667;282;148;154
71;451;507.5;367
238.5;610;163;773
75;279;234;1580
343;788;219;43969
-604;359;2412.5;893
61;254;154;390
289;440;558;1819
102.5;193;200;150
-293;85;211;2641
268;490;485;1822
400;514;230;691
-559;175;152.5;6094
198;659;210;1828
138;273;207;2921
68;-147;365;1293
196.6666667;144;779;5882
179;529;316.5;1579
354;223;68.5;1890
1;627;418;466
263;243;164;266
112;918;377;1200
140;220.3333333;82;5666
295.5;247;199;374
404.5;186;1760;610
-98;386.6666667;164;1050
-147;221;507;310
-359;1748;-33;1147
78;387;-817;1886
98;316;225;1727
184;402;308;414
181;566;431;1098
-658;1192;-516;5424
-247;393.5;518;750
68;168;124;183
806;199;-3;824
191;257.5;162;67
157.6666667;399;13;584
177;-11;242;661
180;119;192;127
-636;200;225;1700
180;163;17;1926
388;200;613;708
207;352;485;1266
374;607;295;2583
125;417;105.5;500
-604;2300;311;2049
266;399;444;3968
751;170.5;390;1637
134.5;-147;599;314
218;57;80.5;911
576.5;270;-155;9383
-155;474;154;1490
295;600;150;3186
-4410;349.5;164;1259
428.5;518;-278;2829
-4;469;417;1343
984;444;405;3310
-423;-46;152;3644
623;-295;378;1374
31;140;931;1839
-237;7336;51;43958
209;527;334;3471
326;184;46;1381
-616;336;49;3827
333;476;254;749
80.66666667;683;1016;970
338.5;1399.333333;240;2114
196.3333333;489;-425;6213
-47.33333333;1057;328;498
1696;266;510;1745
14;334;28;1680
59;312;36;724
430;289;65;880
962;200;-24.5;2088
353;350;189;597
547;966.5;9;1980
281;131.5;177;189
42;266.6666667;427;882.6666667
402;173;232;805
266.5;238;-3;2138
614.3333333;443;365;3633
156;820;81;3821
78;251;118;1193
-412;567;432;987
137;57;132;22410
26;711;116;1309
148;450;556;805
239.6666667;136;882;754
68;540;305.6666667;959
749;1296;-1075;1479.333333
180;493;182;1688
269;49;265;2729
-636;251;-386;1815
69;6;71;3334
684;136.5;425;750
124.5;386;147;3721
174;268;56;3569
2002.5;277;194;493
511;677;41;1193
112;156;81;482
382;713;252;219
135;108.5;240;365
106.5;243;206;1677
5;234;985;2336
37;153;238;440
522;633;105;1991
-418;2386;356;9931
53;173;-408;906
232;789;-301;765
405;105;-305;1260
299;515.5;53;875
118;319;655;1508
230;618;104;528
570.5;1013;268;61
133;69;90;193
74;124.6666667;102;933
101;50;-176;311
241;242;-88;155
133;270;-1487;748
145.6666667;264;165;1641
73.5;350;114;805
121;392;676;841
280;393.5;199.5;2404
