Кластер 1;Кластер 2;Кластер 3;Кластер 4
12624;2197;1910;1140
1199;2897;838;3785
2603;379;844;40075
2700;2478;1818;1800
660;4599;2017;4398
3466;968;221;20178
3631;13573;11690;15498
2024;999;459;33900
1636;1798;5530;21945
2090;1434;2014;18514
3065;11231;997;29070
841;1529;3972;6270
3498;3075;4194;3275
4651;9800;858;7599
2901;1648;1231;20139
2126;699;576;32065
2980;2419;3039;36990
742;1067;3369;1995
1978;819;1630;6299
85;2341;4647;5980
2098;897;1765;6320
3736;3816;3017;23750
1472;1642;1230;22800
1241;709;2373;1370
7602;2137;1420;11590
1978;3508;1959;22800
3550;2239;299;5560
18083;6097;1800;2849
21997;6529;570;3550
999;3399;1924;6545
512;995;999;9998
820;10525;580;35500
3260;4467;1360;475
4879;699;2683;78667
12923;3860;3438;1805
3139;15835;11647;6830
1950;6691;2450;5453
1441;569;1998;990
2562;1219;590;2375
6928;3247;4741;4490
3869;1770;760;6789
1978;15020;2840;7469
422;739;1080;2190
4197;499;824;13100
6782;2999;939;5453
1973;2005;1250;32066
8555;1225;310;22800
19016;1199;2652;601
1421;308;429;9680
1846;899;560;5740
12611;559;4313;1607
6286;899;398;859
8364;458;1447;2787
2456;2655;1397;990
4213;7919;530;7205
1450;1659;4291;21070
2628;4398;3147;6650
5749;767;1990;1610
2335;2694;889;7999
1990;665;1023;5182
1590;1446;3329;4679
4945;4193;4919;11913
823;499;569;999
16839;598;1151;4010
1020;2198;1483;10201
10650;449;324;605
4096;899;2149;6270
7683;1415;1450;23549
963;7298;3752;2799
1450;3025;2089;33190
8940;3324;845;6190
4860;5678;4529;2257
1530;10413;1457;1850
4124;639;3439;380
3597;5006;7463;318
1499;8208;1874;7747
587;12072;4600;6840
1710;1793;1259;17099
1481;1575;549;12253
1897;1399;859;375
2446;1099;270;24810
7480;3880;615;5320
245;2987;519;999
2768;1499;560;2970
482;1234;7019;5229
1624;2699;1363;5446
3327;658;3900;7190
4764;339;2218;1590
4919;4102;2296;2090
13702;5840;450;4192
3062;4303;829;5320
2815;4897;385;16000
4765;1837;379;1990
990;778;5797;20520
2090;21068;5471;10792
3497;732;1859;6072
1511;798;2820;1352
8711;1698;11731;5499
5454;799;1295;9079
2468;767;1442;580
6144;5099;2188;3153
3650;2899;1696;5750
2140;3870;3383;475
1639;1037;3607;2290
6355;1673;5924;1040
4979;5572;1465;2850
778;2347;7168;440
4018;267;478;7190
1532;3829;4604;645
7542;1088;3029;18050
3025;35475;2657;4834
2735;3758;1050;5225
1372;299;609;4499
3225;12146;1816;9730
1161;1036;3109;9990
1949;3299;3222;2190
14664;932;1487;4552
1197;1967;1171;4590
1818;2398;2657;10989
5980;2534;742;10500
3159;2653;5371;2560
1998;3491;2100;12400
3616;4309;3356;10880
2967;25716;920;1890
3062;1052;1510;2576
489;6988;1850;35394
3182;2299;1028;3205
1177;899;3751;5510
3822;679;892;1389
1020;8125;5965;1999
7594;2765;746;1546
1242;3747;1818;2888
2520;2198;1456;795
1450;1909;15517;1490
288;5107;540;1190
2262;1497;1952;2850
2708;1227;4272;5210
1360;809;739;22961
2473;799;2296;5453
3455;4099;1729;3950
3968;585;4448;17385
1368;4495;3444;8369
2098;1998;511;11500
2398;3653;3836;6252
6196;1529;4839;30732
3118;1999;1833;3161
3344;842;1710;5080
237;3500;2559;1395
3946;599;630;850
3060;6586;1258;5999
841;3653;884;19950
4247;1197;1232;1674
2575;399;3960;2590
1075;6048;549;4540
3534;1101;4518;570
1498;4288;618;3790
854;1899;1445;3160
631;1695;809;4999
2070;2575;849;1800
1449;3899;1010;2850
2007;1998;499;11115
2248;4335;4454;4749
7667;897;434;1672
12729;1399;4218;1710
3677;2841;1877;152
8898;2499;780;1140
7521;1178;568;2755
1440;259;1050;318
1499;2199;809;5750
2556;539;349;6026
2306;2599;1746;2256
3147;2939;1996;3799
3286;4299;985;10830
9350;1396;1477;1999
1450;4599;2470;6079
930;1555;2374;38285
8089;1572;1199;3135
1541;214;2449;695
1978;478;1699;1990
8934;2020;2116;40324
1980;1476;540;4990
2020;2999;650;13448
9890;4016;573;3499
4894;2408;2833;10450
1999;1341;1458;5437
7912;4146;973;28250
5322;149;773;14800
6678;443;8986;3325
1512;977;4018;4085
2614;17965;677;797
3289;1398;2761;22325
6234;1416;450;4954
1667;1038;539;12730
2229;2095;799;2599
4106;2981;3540;2490
7941;19524;1290;15114
12027;2422;1446;18108
6942;3042;2529;1610
6049;1168;1767;3790
908;1699;699;4180
559;997;109;1899
2538;3426;549;2182
7229;1599;2136;3515
2200;2499;1849;2880
7046;12578;66;11840
2096;924;1061;19000
939;4125;1897;13525
2339;518;2170;4600
4092;1566;159;9088
5243;2934;2426;12149
778;4485;2000;10940
554;2215;309;6820
4369;968;2325;2945
798;299;1399;22410
226;1898;1399;9597
2088;1309;718;4600
6374;1098;1862;2800
754;1436;7027;4799
6574;10014;4919;12470
1481;3499;668;6030
2300;499;4822;27042
1499;908;669;4964
1049;953;1409;10699
5001;1068;4675;3250
2427;749;3159;11058
7587;1798;960;10688
29582;977;869;1522
3263;1422;126;6820
1604;5191;3199;4652
2066;3101;847;605
2060;2062;1960;1292
3379;1128;710;3056
935;1419;3161;5889
1192;1198;839;4540
7478;908;464;9990
1901;5358;887;26305
815;698;1178;14060
2709;1599;1438;1669
2036;999;9047;6299
20770;6345;404;2290
1452;799;2525;5600
2920;1699;1147;1830
7463;6498;1160;1899
1144;604;238;605
4801;1064;605;2799
2076;208;5942;810
17394;1177;2447;779
999;857;3471;1980
4048;1699;338;3700
2192;2499;301;4600
990;6389;2336;3141
2819;1880;4448;8990
442;3058;495;2740
2437;4965;882;11000
4995;1999;1484;2100
3210;417;983;24700
1317;1995;980;15630
8135;2611;1869;22220
3967;1437;732;10630
1199;349;1687;21298
1450;899;1988;5990
