Кластер 1;Кластер 2;Кластер 3;Кластер 4;;;;;
1579;10462;1556;1899;;;;;
2111;688;1818;429;;;;;
3646;6753;7562;367;;;;;
1548;2835;1036;7796;;;;;
636;2481;4699;6939;;;;;
1759;733;1358;17148;;;;;
1530;1624;648;3112;;;;;
1086;1548;958;424;;;;;
2495;1148;369;12454;;;;;
3789;1342;714;5369;;;;;
294;1099;618;1048;;;;;
1384;1548;659;3019;;;;;
531;1283;7118;5278;;;;;
1673;2748;1462;5495;;;;;
3376;707;3999;7239;;;;;
1240;388;2317;1639;;;;;
2508;2100;2395;2139;;;;;
6302;2046;549;4241;;;;;
1580;2200;928;5369;;;;;
2864;2498;484;16149;;;;;
4814;1886;379;2039;;;;;
1089;827;5896;20520;;;;;
1094;10583;5619;10841;;;;;
3546;781;1958;6121;;;;;
1610;847;2919;1401;;;;;
2953;898;11830;5598;;;;;
5503;848;1394;9178;;;;;
2617;1165;1491;679;;;;;
3121;5148;2237;3252;;;;;
1266;2948;897;5799;;;;;
2189;3919;3432;524;;;;;
620;1246;1852;2339;;;;;
6404;1722;3011;1139;;;;;
5028;1163;1514;2899;;;;;
827;2396;7217;489;;;;;
4067;316;527;7239;;;;;
1581;1964;4753;694;;;;;
2563;1137;3029;18099;;;;;
3074;2804;2706;2466;;;;;
2784;3807;1149;5274;;;;;
1421;348;658;4499;;;;;
3274;13349;957;4964;;;;;
1210;567;3158;10089;;;;;
2048;3348;1660;2289;;;;;
3715;981;792;4701;;;;;
1296;2016;1220;4739;;;;;
1867;2447;2706;10989;;;;;
2042;3013;791;10649;;;;;
3208;584;5420;2709;;;;;
2047;3540;2149;12400;;;;;
1857;4358;3405;5589;;;;;
3016;4822;969;2039;;;;;
3111;1200;1559;2675;;;;;
588;3948;1899;17697;;;;;
3231;2348;1077;3304;;;;;
1276;948;3800;5609;;;;;
1323;728;941;1488;;;;;
559;2841;3032;2048;;;;;
1948;2814;795;1645;;;;;
1242;1298;1867;2937;;;;;
2569;2247;904;398;;;;;
1499;1958;7808;1539;;;;;
337;1751;589;1239;;;;;
2311;1546;2001;2899;;;;;
1403;712;1589;5259;;;;;
1409;858;788;23010;;;;;
2522;848;2725;5502;;;;;
3504;4148;1778;3950;;;;;
4017;773;2323;17534;;;;;
1417;4544;3857;8369;;;;;
2147;2047;610;11500;;;;;
2447;3702;2741;6351;;;;;
2114;1578;4938;30781;;;;;
3167;2098;1016;3210;;;;;
1721;941;984;5129;;;;;
286;3599;2658;1444;;;;;
2022;698;729;899;;;;;
1634;6685;1357;6048;;;;;
890;1317;1033;19950;;;;;
2172;1296;1381;1723;;;;;
1336;498;4109;2639;;;;;
1174;2115;648;4589;;;;;
3797;1200;2383;619;;;;;
1547;4387;717;3839;;;;;
903;1998;1544;3209;;;;;
680;1794;908;4999;;;;;
1084;2674;948;1849;;;;;
1498;3998;1564;2899;;;;;
2056;2097;1097;11164;;;;;
2297;2266;4553;9597;;;;;
1978;1295;583;1771;;;;;
6414;1498;1565;1759;;;;;
4159;1520;1976;201;;;;;
3166;2598;879;1189;;;;;
1929;688;667;2854;;;;;
1489;358;1199;367;;;;;
1548;2298;908;5799;;;;;
2655;638;448;6075;;;;;
2355;2698;1895;2305;;;;;
3246;3038;2095;3799;;;;;
3335;4398;1084;10879;;;;;
9399;1713;838;2048;;;;;
1599;4698;2569;6079;;;;;
979;1376;2473;19242;;;;;
4094;885;1298;3284;;;;;
820;313;2548;695;;;;;
2027;577;948;2089;;;;;
4516;2119;2215;40473;;;;;
2029;1575;739;5089;;;;;
2069;3098;799;13497;;;;;
9939;2107;722;3548;;;;;
2496;2507;1516;10499;;;;;
2048;1440;1557;5486;;;;;
4005;2172;1072;14174;;;;;
5421;248;1716;14849;;;;;
6727;542;9085;3374;;;;;
1561;1076;4117;4134;;;;;
2663;18064;776;448;;;;;
3338;1497;1480;22325;;;;;
6283;1564;549;5003;;;;;
1716;1187;638;12730;;;;;
2278;2194;898;2599;;;;;
1589;3080;3689;2539;;;;;
4020;10531;909;7606;;;;;
4058;2521;1495;18157;;;;;
2363;3141;2578;1659;;;;;
6148;1267;1816;3839;;;;;
1166;1798;748;4229;;;;;
658;1096;158;1948;;;;;
2587;1837;598;2231;;;;;
7278;1748;1117;3564;;;;;
2249;2598;1948;2929;;;;;
7174;6338;115;11840;;;;;
2145;693;1110;19000;;;;;
988;2056;998;4607;;;;;
2623;567;2219;4600;;;;;
2095;1615;208;9088;;;;;
1797;3033;2475;12248;;;;;
827;4534;2049;11039;;;;;
603;2340;358;6820;;;;;
2234;1017;1212;2945;;;;;
847;348;1498;22410;;;;;
275;1947;1448;4798;;;;;
2137;1358;767;4699;;;;;
2174;1147;1911;2899;;;;;
803;1485;2391;4948;;;;;
6623;10063;4968;4157;;;;;
1530;3548;852;6030;;;;;
2349;548;2320;13830;;;;;
1548;1007;718;4964;;;;;
2297;1002;1458;10699;;;;;
5001;583;4724;3349;;;;;
1262;798;3208;11058;;;;;
2578;1847;529;10688;;;;;
7444;1076;484;1522;;;;;
3709;1471;193;6919;;;;;
